SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
105545,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
105643,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South East,Kalkaji,\N
105668,Area-7,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
105670,Area-1,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
105678,Area-3,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
105747,Area-8,,,,,,,0,0,0,SubCentre,Delhi,South,Hauz Khas,\N
105794,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
105879,Area-C,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
105961,Area-2,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
106049,Area-12,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
106087,Area-7,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
106095,Area-3,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
106212,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North-East,Yamuna Vihar,\N
106250,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
106455,Area-2,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
106544,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
106559,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
106627,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South-West,Dwarka,\N
106799,Area-8,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
106969,Area-13,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
107050,MCW Vashist Park,M&CW Centre,Vashist Park Opposite D Block Janakpuri,Opposite D Block Janakpuri Pankha Road,,110058,28520998,28.607267,77.104592,0,M&CW Center,Delhi,South-West,Dwarka,\N
107065,Area-2 (070603801),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
107157,Area-5,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
107226,MCW Khijrabad,Khizrabad,,Near MCD school,Okhla,110065,,28.57374975,77.27261726,0,M&CW Center,Delhi,South East,Defence Colony,\N
107417,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
107479,MH Shakurpur,G-Block,Shakurpur,,,110034,27151078,28.6869,77.14878,0,Maternity Home,Delhi,North West,Saraswati Vihar,\N
107481,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North,Alipur,\N
107693,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
107702,Area-5,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
107719,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
107825,Area-7,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
107902,Area-3,,,,,,,0,0,0,SubCentre,Delhi,South-West,Kapashera,\N
107953,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
108097,MH Chandiwala,Railway road,,,shahdara,110032,22597918,28.6716,77.29124,0,Maternity Home,Delhi,Shahdara,Vivek Vihar,\N
108116,Area-3,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
108173,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
108204,Area-2,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Delhi Cantonment,\N
108263,MCW New Moti Nagar,MCW New Moti Nagar,,"Behind Vyam Shyala & MCD School No. 3,",Moti Nagar,110008,25428886,28.6619,77.1442,0,M&CW Center,Delhi,West,Patel Nagar,\N
108313,DGD Shalimar Bagh AC1,"Flat No.175A, AC-1,",Shalimar Bagh (DDA Flats),,Shalimar Bagh,110088,27487505,28.70574,77.17015,0,Dispensaries,Delhi,North West,Saraswati Vihar,\N
108370,Area-1,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
108456,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
108473,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
108495,Area-2,,,,,,,0,0,0,SubCentre,Delhi,West,Rajouri Garden,\N
108549,Area-1,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Chanakya Puri,\N
108599,Area-1,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
108677,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
108689,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
108728,DGD Wazirpur Industrial Area,Wazirpur Industrial Area,,Near Krish Automobiles,Wazirpur Industrial Area,110052,27373814,28.69266,77.18056,0,Dispensaries,Delhi,North West,Saraswati Vihar,\N
108797,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
108914,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
108970,MCW Vivek Vihar,,,,VIVEK VIHAR,110095,22165697,28.67032,77.30473,0,M&CW Center,Delhi,Shahdara,Vivek Vihar,\N
109021,Area-9,,,,,,,0,0,0,SubCentre,Delhi,West,Rajouri Garden,\N
109068,Area-3 (070601803),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
109136,Area-2,,,,,,,0,0,0,SubCentre,Delhi,South East,Kalkaji,\N
109141,Area-3,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
109280,Area-3,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
109297,Area- C,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
109313,Area-C,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
109327,Area-6,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
109329,Area-1,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
109358,Area-6,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
109365,DGD Nand Nagri,"A-2, Resettlement Colony,",Near Post Office,,NAND NAGARI,110093,22585690,28.69469301,77.30673363,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
109398,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
109451,Area-2,,,,,,,0,0,0,SubCentre,Delhi,West,Rajouri Garden,\N
109459,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North-East,Karawal Nagar,\N
109539,Area-3 (070608205),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
109582,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
109625,Area-8,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
109711,DGD Budh Nagar,J J Colony,C Block,Near Mother Dairy,Budh Nagar,110012,011-25836783,28.63397145,77.14341786,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
109799,DGD Surajmal Vihar,,"A-Block, Surajmal Vihar,",,Surajmal Vihar,110092,22373548,28.6589,77.3060245,0,Dispensaries,Delhi,Shahdara,Vivek Vihar,\N
109840,Area-6,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
109857,MH Bakhthvar Pur,GARHI BAKHTAWAR PUR,BAKHTAWAR PUR,,BAKHTAWAR PUR,110036,27721574,28.85,77.1612,0,Maternity Home,Delhi,North,Alipur,\N
110018,Area-1,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Shahdara,\N
110130,Area-5,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
110265,Lady Harding Medical College and Hospital (LHMC),C-604,"Diz Area,",Shaheed Bhagat Singh Road,Connaught Place,110001,"011- 2336 3728, 011-23367120",28.6353427,77.21296754,0,>500 Bedded Hospital,Delhi,New Delhi,Chanakya Puri,\N
110273,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North,Alipur,\N
110392,Area-12,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
110415,Area-2 (070605907),,,,,,,0,0,0,SubCentre,Delhi,Central,Civil Lines,\N
110475,Area-C,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
110491,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
110504,Area-21,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
110510,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North-East,Seelam Pur,\N
110561,Area-3,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Vasant Vihar,\N
110604,Area-6,,,,,,,0,0,0,SubCentre,Delhi,South,Hauz Khas,\N
110640,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South,Mehrauli,\N
110659,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
110676,Area-2,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
110708,Area-C (070605702),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
110725,DGD Karkardooma Court,Court Complex Karkardooma,,,karkardooma,110032,22301945,28.65436,77.2956823,0,Dispensaries,Delhi,Shahdara,Vivek Vihar,\N
110732,Area-2,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
110755,Area-2,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
110773,Area-6,,,,,,,0,0,0,SubCentre,Delhi,North-East,Yamuna Vihar,\N
110944,Area-C,,,,,,,0,0,0,SubCentre,Delhi,North-East,Yamuna Vihar,\N
110988,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South East,Defence Colony,\N
